question,ground_truth,model_answer,confidence,is_correct
River Phoenix died during the making of which movie?,Dark Blood,Dark Blood,0.73,True
Which artist David was born in Bradford UK?,Hockney,David Hockney,0.65,True
What is Mel Gibson's middle name?,Columcille,Edward,0.59,False
Richard Daley was mayor of which city for 21 years?,Chicago,Chicago,0.83,True
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel,Grand Hotel (1932),0.92,True
What is Osbert Lancaster best known for producing?,Cartoons,"Cartoons and books, particularly 'Pillar to Post' and 'Homes Sweet Homes'",0.73,True
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Virginia Wade,Chris Evert,0.79,False
Who was the first US-born winner of golf's British Open?,Walter Hagen,Richard Tuceq,0.35,False
In which country is the Sky Train Rail bridge?,Canada,Norway,0.62,False
What was the Paramount Film Company originally called?,Famous Players Film Company,Famous Players Film Company,0.78,True
Who was the first person after Scott to reach the South Pole overland?,Edmond Hillary,Roald Amundsen,0.95,False
Which journalist first told the world about the My Lai massacre?,Seymour Hersh,Seymour Hersh,0.83,True
What is the name of Terence and Shirley Conran's dress designer son?,Jasper,Rupert Sanderson,0.79,False
Which drink did The Spice Girls promote?,Pepsi,Zig Zag,0.43,False
Who was the youngest brother in the Beach Boys?,Carl Wilson,Carl Wilson,0.73,True
Who first hosted Family Feud?,Richard Dawson,Richard Dawson,0.85,True
What did the Lone Ranger's title Kemo Sabe mean in Apache?,White Shirt,Old Friend or True Friend,0.72,False
Who or what was Gentle Ben in the 60s TV series?,Bear cub,"A black bear named Gentle Ben, who lived in a Florida bayou with his owner Tom Harris.",0.73,False
Which 70s show was based on the British show Till Death Us Do Part?,All In The Family,All in the Family,0.83,True
On what date in 1969 did Neil Armstrong first set foot on the Moon?,July 20th,"July 20, 1969",0.95,True
Bandar Seri Begawan International airport is in which country?,Brunei,Brunei,0.78,True
What was the profession of Paul Strand (1890 - 1976)?,Photographer,Photographer,0.85,True
Who had a 60s No 1 with Downtown?,Petula Clark,Petula Clark,0.83,True
"Who was born first, Kiefer Sutherland or Christian Slater?",Kiefer Sutherland,Kiefer Sutherland,0.72,True
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",10,8,0.72,False
Who was the Georgia Peach?,Ty Cobb,Ty Cobb,0.85,True
Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix,Jimi Hendrix,0.95,True
Della Street was whose secretary?,Perry Mason,Perry Mason's,0.85,True
"In music, who was Sweet and Innocent and Too Young?",Donny Osmond,Connie Francis,0.73,False
Who is featured on Puff Daddy's Can't Hold Me Down?,Mase,"Jimmy Page (as a guest vocalist) and Jimmy Scott, but most notably Jimmy Page, however some say it's Jimmy Scott.",0.44,False
What had Edmond Hillary worked at before taking up mountain climbing?,Bee Keeping,Royal New Zealand Air Force and Oxford University,0.83,False
In which American state is the Isabella Stewart Gardner Museum?,Massachusetts,Massachusetts,0.83,True
Benina international airport is in which country?,Libya,Libya,0.73,True
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey,Whoopi Goldberg,0.75,False
Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy,Leonard Nimoy,0.42,True
Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston,Jennifer Aniston,0.56,True
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",Tinkerbell,Tinker Bell,0.69,True
Which US president did Anthony Hopkins play in a film whose title was simply his name?,Nixon,Nixon,0.95,True
Which movie was a biopic about the life of David Helfgott?,Shine,Shine,0.95,True
Which film director guested as the FBI Director in The Silence of the Lambs?,Roger Corman,Jonathan Demme,0.95,False
In which sci fi classic did the space ship Nostromo first appear?,Alien,Alien (1979),0.83,True
Nigel Hawthorne was Oscar nominated for The Madness of which King?,George,George III,0.93,True
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman,Ingrid Bergman,0.83,True
Which Oscar-nominated film had You Sexy Thing as its theme song?,The Full Monty,Scott Pilgrim vs the World,0.59,False
Which Joan's career revived in Whatever Happened to Baby Jane?,Crawford,Bette Davis,0.85,False
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,James Stewart,James Stewart,0.83,True
Which legendary dancer was Oscar-nominated for The Towering Inferno?,Fred Astaire,Fred Astaire,0.58,True
What was the name of the brothel in The Best Little Whorehouse in Texas?,Chicken Ranch,The Chicken Ranch,0.79,True
Who was the male star of the movie The Man of La Mancha?,Peter O'Toole,Peter O'Toole,0.79,True
What relation is Joey Richardson to Vanessa Redgrave?,Daughter,"Vanessa Redgrave is the mother of Natasha Richardson, and Natasha's daughter is Joely Richardson.",0.83,True
Melanie Molitor is the mom of which tennis world NO 1?,Martina Hingis,Martina Hingis,0.79,True
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,Belgium,Belgium,0.83,True
On which date in 1945 did Hitler take cyanide then shoot himself?,April 30th,"April 30, 1945",0.95,True
In which river is the Boulder Dam?,Colorado,Colorado River,0.83,True
"Which sports event was first held at Worcester, Massachusetts in 1927?",Ryder Cup,Worcester Junior Senior Open tennis tournament,0.43,False
In which European city is the Belvederen Gallery?,Vienna,"Vatican City, Rome",0.72,False
How old was Woody Herman when he founded his own orchestra?,13,"Woody Herman was 24 years old when he formed his first band, but it's unclear if this is the same as founding his own orchestra.",0.43,False
For which movie did Katharine Hepburn win her second Oscar?,Guess Who's Coming To Dinner,Guess Who's Coming to Dinner,0.43,True
Who had a 60s No 1 hit with This Diamond Ring?,Gary Lewis and the Playboys,Gary Lewis and the Playboys,0.75,True
The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,Sweden,Ukraine,0.83,False
In which country was the first permanent bungee jumping site situated?,New Zealand,New Zealand,0.72,True
Who succeeded Brezhnev as Soviet premier?,Andropov,Yuri Andropov,0.85,True
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,Baby Buggy,portable baby carriers or slings,0.79,False
In which city's shipyard was Solidarity set up?,"Gdansk, Poland",Gdansk,0.83,True
Which female singer was born on exactly the same day as impressionist Rich Little?,Tina Turner,"Sheryl Crow and Rich Little were both born on November 30, 1947.",0.59,False
What is Harrison Ford's real name?,Harrison Ford,Alan Willis Ford,0.58,False
Who's home runs record did Mark McGwire break in the 1998 season?,Roger Maris,Roger Maris,0.72,True
Who won baseball's first World Series of the 80s?,Philadelphia Phillies,Philadelphia Phillies,0.65,True
What was Pete Sampras seeded when he won his first US Open?,12,1,0.59,True
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocky Marciano,Joe Louis,0.79,False
Where did Jonathan Edwards set his 1995 triple jump world record?,Sweden,"Goteborg, Sweden",0.42,True
"In baseball, where do the Orioles come from?",Baltimore,"Baltimore, Maryland",0.95,True
The Naismith Award is presented in which sport?,Basket ball,College Basketball,0.78,False
Which cartoon and film character is the nickname of super athlete Michael Johnson?,Superman,The Road Runner,0.42,False
For which team did Babe Ruth blast his last Major League home run?,Boston Braves,Boston Red Sox,0.75,False
What was Warren Beatty's first movie?,Splendor in the Grass,Splendor in the Grass (1961),0.72,True
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",Debra Winger,Lynda Carter,0.63,False
Mickey Braddock in the 50s series Circus Boy found fame with which surname in which pop band?,Mickey Dolenz (The Monkees),Morrissey,0.73,False
Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,Tom Selleck,"Peter Jennings' rival, John Miller's friend and fellow newsman, Peter's competitor in the ratings, but not his enemy,  was O.J. Simpson's nemesis, but not his prosecutor, it was... Lee Iacocca's biographer, and a war hero,  ... Lee Greenwood's namesake, but not the singer,  ... it was... the man who was also known as 'Hoss'... Lee Marvin",0.44,False
What US sitcom was the first exported to Britain?,Amos 'N' Andy,Frasier,0.72,False
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,John Astin,0.68,True
Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,Florence Henderson,Eileen Brennan,0.72,False
Which US president won the Nobel Peace Prize in 1920?,Woodrow Wilson,Woodrow Wilson,0.92,True
Who beat Tim Henman in his first Wimbledon singles semifinal?,Pete Sampras,Sampras,0.73,True
What relation was Flo Jo to Jackie Joyner Kersee?,Sister-in-law,"Florence Griffith-Joyner, also known as 'Flo-Jo', was married to Al Joyner, who is the brother of Jackie Joyner-Kersee.",0.67,True
How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,4 years,2 years,0.79,False
Yuan Yuan was caught carrying drugs for which Chinese team?,Swimming,Chinese national basketball team,0.63,False
Which grand slam did Pete Sampras not win in the 20th century?,French,US Open,0.72,False
In which events did Gert Fredriksson win six Olympic gold medals?,Canoeing,"The 1948, 1952 and 1956 Olympics in the K-1 1000m event.",0.83,True
"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?",Three,1,0.59,False
On the Internet what is Spam?,Junk mail,"Unsolicited commercial messages, especially emails or comments, sent to large numbers of recipients.",0.79,True
In which country did the Internet start?,USA,USA,0.65,True
In which year was the Juilliard School founded in New York?,1905,1905,0.95,True
"Who wrote My Life and Loves in 1926, originally banned in the US?",Frank Harris,Frank Harris,0.79,True
What was Blondie's last UK No 1 of the 80s?,Rapture,Rapture,0.73,True
"In baseball, where do the Royals come from?",Kansas city,"Kansas City, Missouri",0.95,True
What is the largest city in Ohio?,Cleveland,Columbus,0.95,False
In which decade of the 20th century was Anne Bancroft born?,1930s,1930s,0.79,True
The Suez Canal connects the Mediterranean Sea to which other Sea?,Red sea,Red Sea,0.95,True
Which rock star did Cindy Crawford name her first son after?,Presley,Presley,0.56,True
Sun Yat Sen overthrew the emperor in which country establishing a republic after 2000 years of imperial rule?,China,China,0.95,True
Who designed the dress which made the most at Diana's dress auction?,Victor Edelstein,"Diana, Princess of Wales",0.61,False
Which Palestinian co-founded al Fatah in 1957?,Yasser Arafat,Yasser Arafat,0.85,True
In which country was Earl Spencer's acrimonious divorce settlement heard?,South Africa,England,0.72,False
"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, born?",Egypt,Egypt,0.78,True
Aung San Suu Kyi is a controversial leader in which country?,Myanmar,Myanmar,0.92,True
Which of the founders of United Artists had the last name nearest the beginning of the alphabet?,Chaplin,Charlie Chaplin,0.75,True
"In La Cage Aux Folles, what was La Cage Aux Folles?",Nightclub,a drag nightclub,0.79,True
Where was the Fiddler in the musical's title?,On the Roof,On the Roof,0.73,True
South Pacific was set during which war?,WWII,World War II,0.83,True
What percentage of the earth's surface is covered by Europe?,8%,7%,0.62,False
Which European town gave its name to a Treaty which symbolizes closer economic links between European countries?,Maastricht,Maastricht,0.79,True
Which home of champagne in France was also where the German High Command surrendered in WWII?,Reims,Compiègne Forest,0.83,False
Which was the first European city this century to open an underground railway system?,Paris,"Glasgow, Scotland in 1896",0.83,False
Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ub Iwerks,Ub Iwerks in 1928,0.59,True
Which actress wrote the novel The Last of the Really Great Whangdoodles?,Julie Andrews,Juliet Murray Field,0.56,False
Who was the star of the film based on the record Harper Valley PTA by Jeannie C Riley?,Barbara Eden,Shirley Jones,0.59,False
What color golf balls are used on the golf course in Antarctica?,Orange,White,0.62,False
Throughout the 80s and 90s Phil Collins recorded on which record label?,Atlantic,Atlantic Records,0.79,True
On which label did Chuck Berry record in the 1950s and 1960s?,Chess,Chess Records,0.72,True
What was the name of Michael Jackson's second wife?,Debbie Rowe,There is no record of Michael Jackson being married twice.,0.92,False
Which US city was named after a British Prime Minister?,Pittsburgh,Washington D.C.,0.95,False
"""Who said, To err is human but it feels divine?""""""",Mae West,Voltaire,0.72,False
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton,Bobby Vee,0.59,False
What are the international registration letters of a vehicle from Iceland?,IS,IS,0.95,True
Where was the American venue of the Live Aid concert?,Philadelphia,"John F. Kennedy Stadium in Philadelphia, Pennsylvania.",0.92,True
Which was the longest moon landing?,Apollo 17,Apollo 17,0.73,True
Who had the most expensive presidential inauguration ceremony of the 20th century?,George W. Bush,Barack Obama,0.65,False
Who became Israel's head of state in 1993?,Ezer Weizman,Ezer Weizman,0.72,True
"In WWII, who was the head of the Nazi party's security service?",Reinhard Heidrich,Heinrich Himmler,0.83,False
Which President of the Philippines was deposed in 1986?,Marcos,Ferdinand Marcos,0.92,True
"What kind of disaster claimed some 100,000 lives in Armenia in 1988?",Earthquake,Earthquake,0.85,True
Which state on the Gulf of Mexico is nearest the end of the alphabet?,Texas,Texas,0.82,True
Truax Field international airport is in which US state?,Wisconsin,Idaho,0.78,False
In what month was the attack on Pearl Harbor?,December,December,0.95,True
Who did Dr. Crippen murder?,His wife,Ethel Le Neve,0.55,False
"In the 1904 Olympics, how many of the 23 track and field titles were won by Americans?",21,12,0.6,False
The Black Hills lie between which two rivers?,Belle Fourche and Cheyenne,Cheyenne River and Belle Fourche River,0.83,True
In what year was the first in-flight movie shown on an internal flight in the USA.,1929,1939,0.75,False
In which city was John Lennon murdered?,New York,New York City,0.85,True
How was President Kennedy assassinated?,Shot,"President Kennedy was shot by Lee Harvey Oswald on November 22, 1963, in Dallas, Texas.",0.92,True
Which caped crusader operated in Gotham City?,Batman,Batman,0.95,True
Who did Jack Ruby shoot in November 1963?,Lee Harvey Oswald,Lee Harvey Oswald,0.95,True
Who was the first American to travel faster than the speed of sound?,Chuck Yeager,Chuck Yeager,0.92,True
Who was the first US president Barbara Walters interviewed?,Nixon,Richard Nixon,0.73,True
Which orchestral conductor was married to one of the subjects of the film Hillary and Jackie?,Daniel Barenboim,Daniel Barenboim,0.73,True
Which writer and politician became Lord Tweedsmuir?,John Buchan,John Buchan,0.78,True
In what year was the first Tarzan novel published?,1914,1912,0.95,False
In which country were motorized ambulances first used?,France,United States,0.73,False
What is the Pacific terminus of the Trans Siberian Railway?,Vladivostok,Vladivostok,0.95,True
What is the name of the mountain pass which lies between Pakistan and Afghanistan?,Khyber pass,Wakhan Pass,0.72,False
"What is the name of the group of 1,196 islands in the North Indian Ocean, none bigger than five square miles?",Maldives,Maldives,0.92,True
Which Syrian city is said to be the oldest continually inhabited city in the world?,Damascus,Damascus,0.83,True
Who was king of France at the time of the French Revolution?,Louis XVI,Louis XVI,0.83,True
What is the principal language of Bulgaria?,Bulgarian,Bulgarian,0.95,True
"What is the name of the cathedral in Red Square, Moscow?",St. Basil's,St. Basil's Cathedral,0.95,True
Which country is known to its people as Suomen Tasavalta?,Finland,Finland,0.95,True
Which crusade was led by Philip II Augustus of France and Richard I of England?,Third crusade,The Fourth Crusade,0.72,False
In which Netherlands city does the United Nations International Court of Justice sit?,The Hague,The Hague,0.95,True
"In which battle did Harold II, the last Saxon king, lose his life?",Battle of Hastings,The Battle of Hastings,0.78,True
Who proclaimed the People's Republic of China in 1949?,Mao Zedong,Mao Zedong,0.83,True
"Which wife of Henry VIII had already married twice before she became queen, and married for a fourth time after Henry's death?",Catherine Parr,Catherine Parr,0.73,True
In which country is the castle that gives the Habsburg dynasty its name?,Switzerland,Austria,0.83,False
In which parliament has the UK 87 seats for members who are elected for a five0-year term?,European Parliament,House of Commons,0.72,False
What was the former name of the British Green Party?,Ecology Party,"People Party, Ecology Party and then People's Party",0.59,True
"""What is the more common name of the """"simple plurality"""" system of voting?""",First past the post,First-Past-The-Post (FPTP),0.72,True
What word for unthinking patriotism is derived from the name of one of Napoleon's admirers?,Chauvinism,Jingoism,0.79,False
Which builder of steam engines formed a successful partnership with Matthew Boulton?,James Watt,James Watt,0.95,True
What was the nickname of the French singer Edith Piaf?,The Little Sparrow,La Môme de la Mouche,0.83,False
Whose birthday is celebrated by a public holiday on the third Monday in January in the USA?,Martin Luther King,Martin Luther King Jr.,0.85,True
What type of coal is brown and fibrous?,Lignite,Lignite,0.73,True
What raw material is used for making glass?,Sand,Silica sand (SiO2),0.87,True
What kind of an organism is a truffle?,Fungus,Fungus,0.92,True
What is the name of the strong material found in plant cell walls?,Cellulose,cellulose,0.82,True
What name is given to the change of state from liquid to gas?,Evaporation,Vaporization,0.72,True
"Which branch of science has four fundamental principles: addition, subtraction, multiplication, and division.",Arithmetic,Arithmetic,0.85,True
What is the force that opposes the relative motion of two bodies that are in contact?,Friction,friction,0.95,True
What is the fastest animal on two legs?,An Ostrich,Ostrich,0.73,True
What is the green pigment used by plants to trap sunlight?,Chlorophyll,Chlorophyll,0.95,True
What id the name given to the study of birds?,Ornithology,Ornithology,0.95,True
"Of which reptile are there only two species, one living in the Mississippi and the other in China?",Alligator,Alligator,0.71,True
"What type of seaweed grows up to 100 meters in length, and is farmed for its alginates?",Kelp,Kombu,0.83,False
Where in a vertebrate would you find the protein myoglobin?,Muscle tissue,"Muscle cells of red meat animals, such as beef and lamb.",0.83,True
"What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?",Cellulose,Cellulose,0.89,True
"Which family of insects has species named 'drivers', 'weavers', 'and even individuals called 'soldiers'?",Ant,Termites,0.83,False
What name is given to the study of animal behavior?,Ethology,Ethology,0.85,True
Mosses are classified as belonging to which part of the plant kingdom?,Bryophyta,Bryophyta,0.83,True
"Which rodent rears its young, called kittens, in a nest called a drey?",Squirrel,squirrel,0.78,True
What has a central vein called a midrib?,Leaf,A leaf,0.92,True
"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,Beaver,0.83,True
What is the generic word for plants that grow in water or water-logged conditions?,Hydrophytes,hydrophytes,0.72,True
"Which teeth are the third molars, and are always the last to0 erupt?",Wisdom teeth,Wisdom Teeth,0.93,True
What is secreted by the pancreas to regulate blood sugar levels?,Insulin,insulin and glucagon,0.83,True
How many chambers has the heart?,Four,4,0.95,True
What is the name of the large buttock and thigh muscle?,Gluteus maximus,Gluteus Maximus,0.95,True
"When the egg is released from the ovary, what is left behind?",Corpus luteum,The follicle is left behind.,0.75,False
What is the scientific name for the heart's pacemaker?,Sinoatrial node,SA node,0.85,True
Which hormone helps control ovulation?,Luteinizing hormone,FSH (Follicle Stimulating Hormone),0.83,False
What is the second most common gas in the atmosphere?,Oxygen,Oxygen,0.83,True
What is the term for nutrient enrichment of lakes?,Eutrophication,Eutrophication,0.83,True
Five-legged creatures have damaged which 1250 mile long wonder of the world?,Great Barrier Reef,Great Wall of China,0.64,False
Which radioactive substance sometimes occurs naturally in spring water?,Radon,Radon,0.78,True
What is the approximate circumference of the earth?,"24,900 miles","approximately 40,075 kilometers",0.88,False
"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",Gypsum,Gypsum,0.83,True
What name was given to the invisible material once thought to occupy all space?,Ether,ether,0.73,True
From which areas of space can there be no escape?,Black holes,Black Holes and Singularities,0.92,True
Who was the first man to walk on the Moon?,Neil Armstrong,Neil Armstrong,0.95,True
Proteus and Nereid are moons of which planet?,Neptune,Neptune,0.75,True
What is the Milky Way?,The local galaxy,"The Milky Way is a barred spiral galaxy that contains our solar system and is visible as a bright, hazy band of light in the night sky.",0.95,True
Which force is nothing more than the bending of space and time?,Gravitational force,Gravity,0.85,True
"Which star is as bright as 23 Suns, and is orbited by the Pup?",Sirius,Sirius,0.83,True
What are the three primary colours of light?,"Red, Blue and Green","Red, Green and Blue (RGB)",0.95,False
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple,The Color Purple,0.78,True
What is the second lightest chemical element?,Helium,Neon,0.83,False
"Used in mathematics, what is the value of Pi to three decimal places?",3.142,3.142,0.95,True
"What colour is the number 10 on the door of 10 Downing Street? White, Yellow or Brown?",White,White,0.42,True
What was advertised with Eva Herzagovia using the slogan hello boys?,The Wonder-Bra,Wonderbra,0.75,True
What number in Bingo is sometimes referred to as Heinz varieties?,57,57,0.75,True
"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?",Ian Wright,Thierry Henry,0.79,False
How many verses make up the national anthem God Save The Queen?,Three,4 verses,0.72,False
What colour is the cross on the national flag of Switzerland?,White,white,0.73,True
Who was the American President when the Berlin Wall was constructed?,John F Kennedy,Dwight D. Eisenhower,0.79,False
What is the minimum number of darts a person needs to throw to complete a leg from 501?,9,9,0.95,True
What was the first British football team to win the European Cup?,Celtic,Aston Villa,0.73,False
What is the most popular natural attraction in Alaska?,Mount McKinley,Denali National Park and Preserve,0.85,False
"What type of acid is extracted from the juice of lemons, oranges, limes, and grapefruit?",Citric acid,Citric Acid,0.95,True
How many pieces are there in a standard set of dominoes?,28,28,0.78,True
What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol,INTERPOL,0.78,True
"What were Benjy and Laska, which were sent into space in 1958?",Mice,"Laika's companions, two dogs, Belka and Strelka, but more likely Laika's companions are the two other dogs that flew to space before her, named Belka and Strelka's predecessors, Benjy and Laska. However, it is unlikely that Benjy and Laska were actually sent into space in 1958.",0.42,False
In what year in the 20th century was the Miss World contest held for the first time?,1951,1951,0.72,True
In which year was the Encyclopedia Britannica first published?,1768,1768,0.95,True
"On the London Underground, which is the only line to connect at some point with every other line on the system?",The Jubilee Line,The Circle Line,0.92,False
Who wrote The Importance Of Being Earnest?,Oscar Wilde,Oscar Wilde,0.95,True
"Thomas Edison, who invented the lightbulb, was afraid of the dark?",True,No credible evidence supports this claim.,0.24,False
Taphephobia is the fear of losing your teeth?,False,"Odontophobia is the correct term, but it's close to being a guess.",0.29,False
The letter t is the second most common letter used in the English language?,True,"Yes, according to various sources such as the Oxford English Corpus and other linguistic analyses.",0.83,True
"The invention of what in 1867, made Alfred Nobel famous?",Dynamite,dynamite,0.95,True
What is the most populated city in America?,New York,New York City,0.95,True
What is the only letter of the alphabet which does not appear in any of the names of the 50 American states?,Q,Q,0.95,True
What was the Spice Girls' debut single called?,Wannabee,Wannabe,0.95,True
What are the only two musical notes which have no flats?,C and F,A and B,0.83,False
"From which country do French fries originate? France, Belgium or Switzerland?",Switzerland,Belgium,0.72,False
For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,0.72,True
What is the longest word can be typed using only the top row of letters on a typewriter?,Typewriter,typewriter,0.95,True
In which city would you find O'Hare International Airport?,Chicago,Chicago,0.95,True
Which Asian country was once called Siam?,Thailand,Thailand,0.95,True
What are the names of Donald Duck's three nephews?,"Huey, Dewey and Louie","Huey, Dewey, and Louie",0.95,True
"In which 1993 film does a boy called Jonah write to a woman called Annie, asking her to meet his father at the Empire State building on St. Valentine's Day?",Sleepless In Seattle,Sleepless in Seattle,0.93,True
Who had a top ten hit in 1988 with Valentine?,T'Pau,T'Pau,0.73,True
What is the second most common word in written English?,Of,the,0.94,False
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pac-Man,Pac-Man,0.95,True
"More commonly known as the thigh bone, what is the medical name for the longest bone in the human body?",The Femur,Femur,0.92,True
